ID,Rating,Votes,Date,Title,Author,Publisher
03402988,9.0,001090,2009-1,海浪,(英)弗吉尼亚·伍尔夫,上海译文出版社
30177152,8.8,000064,2018-4,尤金·奥尼尔：四幕人生,[美]罗伯特·道林,南京大学出版社
33402255,8.7,000478,2019-7,和博尔赫斯在一起,[加拿大]阿尔维托·曼古埃尔,南京大学出版社
26552069,9.4,000529,2015-8-20,黑暗之城,Greg Girard / Ian Lambot,中華書局、圓桌精英
30255676,9.0,000662,2018-9,我一直想要告诉你的事,[加] 艾丽丝·门罗,译林出版社
30434081,9.1,000264,2019-5,帝国轶闻,[墨西哥] 费尔南多·德尔帕索,四川人民出版社
30321026,8.4,000843,2019-6,修道院纪事,[葡]若泽·萨拉马戈,南海出版公司
30259677,9.0,000912,2019-6,焚舟纪,[英] 安吉拉·卡特,南京大学出版社
30247860,8.2,001011,2019-1,整个巴黎属于我,[美]莱斯利·M.M.布鲁姆,中信出版集团
27182058,9.7,000101,2017-9,大地的窗口,[英]珍·古道尔,北京大学出版社
20434904,9.2,000151,2013-1,从文自传,沈从文,中国国际广播出版社
01433835,9.2,002439,1999-8-2,The Elements of Style,Fourth Edition,William Strunk Jr. / E. B. White,Longman
01084120,9.0,000451,2005-1-1,瞬间永恒,美国国家地理学会编,中国摄影出版社
19954650,9.0,000100,2012-10,日本古書店的手繪旅行,池谷伊佐夫(Isao Ikegaya),麥田
26631867,9.1,001152,2016-1,现实与欲望,[西班牙] 路易斯·塞尔努达,四川文艺出版社
26576861,9.0,025115,2015-7-31,最好的告别,[美] 阿图·葛文德（Atul Gawande）,浙江人民出版社
25752955,9.0,007360,2014-4,来自新世界 （上下）,[日] 贵志祐介,上海译文出版社
01039079,9.0,002168,2001-1,写在人生边上 写在人生边上的边上 石语,钱钟书,生活·读书·新知三联书店
01311280,9.0,003118,2005-4,灵魂的事,史铁生,百花文艺出版社
06712407,9.0,004615,2012-2,巴黎评论·作家访谈Ⅰ,《巴黎评论》编辑部,人民文学出版社
05337254,9.1,015620,2010.10,孽子,白先勇,广西师范大学出版社
02015357,9.1,002413,2007-1,王小波全集（第六卷）,王小波,云南人民出版社
01287864,9.4,001994,2003-3-1,庄子,王岩峻,山西古籍出版社
01883245,9.4,017406,2006-7,诗经,孔丘 编订,北京出版社
