ID,Rating,Votes,Date,Title,Author,Publisher
03822618,8.9,000712,2009-7-7,巨流河,齊邦媛,天下遠見出版股份有限公司
03885856,8.5,000054,1996/9/1,翁山蘇姬,翁山蘇姬 / 港譯：昂山素姬,時報文化
02287450,0.0,000007,1979,刘志丹,李建彤,工人出版社
01376263,7.7,000051,2003-7-1,五十年代底塵埃,唐德剛,遠流出版事業股份有限公司
01007703,0.0,000008,2001-01,检讨书,郭晓惠 / 丁东 / 严硕 编,中国工人出版社
03464386,8.3,000053,2009,我的人生档案,贾植芳,江苏文艺出版社
01089426,8.2,000018,2001-07,太平湖的记忆-老舍之死,郑实 / 等,海天出版社
03239549,9.2,026736,2008-09,夹边沟记事,杨显惠,花城出版社
01274881,8.2,000480,1998-04,牛棚杂忆,季羡林,中共中央党校出版社
01065659,8.0,000094,2003-01,胡风集团冤案始末,李辉,湖北人民出版社
01030706,7.0,000074,2004-04,回首文革,张化 苏采青,中共党史出版社
01986275,8.6,000385,1989-10-01,大失败,[美] 兹·布热津斯基,军事科学出版社
01009338,7.5,000028,1999-12,反思历史不宜迟,丁东,三联书店上海分店
01998491,0.0,000007,1993,這也是歷史,林道群等編,牛津大學
01275459,0.0,000074,1993-12,中国的大饥荒,[美] 彭尼·凯恩,中国社会科学出版社
01005655,7.8,000127,1997-11,中国的内战,[美] 胡素珊,中国青年出版社
01033569,7.7,000096,1998-10,直言,李锐,今日中国出版社
01380950,8.3,000079,2004-11-1,改變中國 ,史景遷,時報文化
01121151,8.3,000025,2001-2,战争状态,胡平,长江文艺出版社
01506809,8.7,000138,1999-9,漂泊,老威,中国戏剧出版社
01025355,8.2,000170,1998-10,1966,徐友渔,中国文联出版公司
02981589,8.7,002292,2008-1,美妙的新世界,(英国)阿道斯·伦纳德·赫胥黎,译林出版社
01017856,7.7,000753,1998-5,失乐园,[日] 渡边淳一,珠海出版社
01017143,8.5,200855,2003-7,不能承受的生命之轻,[捷克] 米兰·昆德拉,上海译文出版社
02336338,7.8,000337,1995,女人十日谈,尤里娅·沃兹涅先斯卡娅,广州出版社
01885226,7.5,000921,2006-8,娜娜,左拉,上海译文出版社
01465324,7.7,067764,2005-12,洛丽塔,[美] 弗拉基米尔·纳博科夫,上海译文出版社
01546622,8.1,000031,2007-06,恋爱中的女人,(英)D·H·劳伦斯,湖北长江出版集团,长江文艺出版社
02036573,7.7,002346,2007-3,儿子与情人,[英]戴·赫·劳伦斯,上海译文出版社
02323413,7.9,001356,2008-1,查泰莱夫人的情人,劳伦斯,外文出版社
02297874,7.4,000073,2007-10,三生有幸,吴相湘,中华书局
01274431,7.8,000050,1998-12,王实味文存,王实味,上海三联书店
03065880,8.7,000023,1989-4,我的自白,刘宾雁,四川文艺出版社
03025318,7.9,000037,1987年5月,以权力制约权力,朱光磊,四川人民出版社
02034042,7.8,000105,1986年7月第一版,首脑论,严家其,上海人民出版社
01043416,8.3,000702,2000-09,人有病  天知否,陈徒手,人民文学出版社
01274958,9.0,000069,1996-04,狱里狱外,贾植芳,上海远东出版社
01075022,7.6,000481,1998-05-01,毕竟是书生,周一良,北京十月文艺出版社
01038208,8.0,000059,2004-3-1,苦笑录,陈公博,东方出版社
01028602,0.0,000000,2004-3-1,郑超麟回忆录（上下）,郑超麟,东方出版社
01440435,7.4,000284,2005-8,母亲杨沫,老鬼,长江文艺出版社
02019301,7.5,000086,1999-11,刘文彩真相,笑蜀,陕西师范大学出版社
01261271,7.6,000032,2005-1,红色记忆,沈容,北京十月文艺出版社
02051826,0.0,000000,1995,極權主義的起源,漢娜．鄂蘭,时报文化出版企业有限公司
01479688,8.8,000159,1999年,拒绝遗忘,钱理群,汕头大学出版社
01071240,7.6,000067,2004-01,中国禁书简史,陈正宏 / 谈蓓芳,学林出版社
01006560,8.2,010927,2003-08,血酬定律,吴思,中国工人出版社
01025723,8.3,015882,2001-1,潜规则,吴思,云南人民出版社
01028596,8.6,000088,1998-09,荆棘路,牛汉 / 邓九平 主编,经济日报出版社
01069781,8.8,000094,1998-9,原上草,牛汉 / 邓九平 主编,经济日报出版社
01220840,7.5,000675,2005-01,1949年,傅国涌,长江文艺出版社
01022829,7.6,001294,2004-09,记忆,章立凡,陕西师范大学出版社
01903968,0.0,000000,2006-10,伶人往事,章诒和,湖南文艺出版社
01072777,9.3,000800,2003-08-01,告别夹边沟,杨显惠,上海文艺出版社
01768349,7.5,000246,2006-5,笔底波澜,傅国涌,广西师范大学出版社
01424797,8.0,000856,2005-09-01,储安平与《观察》,谢泳,中国社会出版社
01064223,9.0,002259,2002-5,夹边沟记事,杨显惠,天津古籍出版社
01031917,0.0,000372,1999-1,遇罗克遗作与回忆,遇罗克,Zhongguo wen lian chu ban she
01013338,8.9,000102,1998-9,六月雪,牛汉 / 邓九平 主编,经济日报出版社
01022343,8.1,000163,1999-01,王实味: 野百合花,黄昌勇（编）,中国青年出版社
01005885,0.0,000000,1998-1,我的回忆,张国焘,东方出版社
01453120,8.3,000503,1999-1,逝去的年代,谢泳,文化艺术出版社
01088525,8.4,000350,1998-5,1957年的夏季,朱正,河南人民出版社
01658346,8.4,000288,1999-08-01,思想史上的失踪者,朱学勤,花城出版社
01081380,8.7,000087,1999-1,顾准：民主与“终极目的”,罗银胜 编,中国青年出版社
01050917,7.5,000039,1999-01,胡风：死人复活的时候,梅志 / 晓风,中国青年出版社
01015759,7.5,000052,1999-01,罗隆基：我的被捕的经过与反感,罗隆基,中国青年出版社
01055355,8.3,000289,1999-01,储安平,谢泳 编,中国青年出版社
