ID,Rating,Votes,Date,Title,Author,Publisher
01785397,9.3,001279,1978-12,基度山伯爵（全四册）,[法] 大仲马,人民文学出版社
01484695,8.0,002681,2006-1,季羡林谈人生,季羡林（著） / 季羡林研究所（编）,当代中国出版社
01547754,8.2,000041,2001-1,现代大学论,亚伯拉罕·弗莱克斯纳（Abraharn Flexner）,浙江教育出版社
01661774,8.5,000103,2001-12,大学的理想,[英] 约翰·亨利·纽曼,浙江教育出版社
01593758,7.6,000026,2001-12,高等教育不能回避历史,克拉克·克尔,浙江教育出版社
01661722,8.7,000072,2001-12-01,美国高等教育,[美] 罗伯特·M·赫钦斯(Robert M.Hutchins),浙江教育出版社
01441747,7.6,000092,2001,大学的使命,奥尔特加·加塞特 (Ortega Y.Gasset),浙江教育出版社
01005709,8.4,000941,2004-01,双城记,（英）狄更斯,人民文学出版社
01457103,7.4,000124,1999-09-,罗马神话故事,王新良 编译,宗教文化出版社
01603984,8.0,001879,1996-10,希腊神话故事,[德] 古斯塔夫·施瓦布,宗教文化出版社
01077778,8.1,011793,2004-07,爱的教育,（意）亚米契斯,广西师范大学出版社
01209143,0.0,000005,2002-4-1,卢卡斯散文选,E.V.卢卡斯,百花文艺出版社
01446544,8.3,000035,2005年5月1日,卢梭散文选,(法)让-雅克·卢梭,百花文艺出版社
01092149,8.7,009379,2001-2,梵高传,[美] 欧文·斯通,北京出版社
01082154,9.1,190770,1998-5,活着,余华,南海出版公司
01280786,7.9,000032,2001-08,会心一笑,赵丽宏,文汇出版社
01053581,8.1,000101,2001-08,梦幻中的蓝色,肖复兴,文汇出版社
01061757,7.8,000043,2001-08,无法拒绝,陈村,文汇出版社
01045716,8.7,005607,2004-10,人生中不可不想的事,克里希那穆提,群言出版社
01020475,8.1,000201,2003-01,克雷洛夫寓言全集,克雷洛夫,人民文学出版社
01820983,7.7,000071,2006-1,假如给我三天光明,海伦,凯勒,国际文化
01138764,7.4,000047,2003-11-1,富兰克林自传,【美】本杰明・富兰克林,团结出版社
02301475,8.3,002582,2007-11,人间食粮,[法]安德烈·纪德,上海人民出版社
01852506,8.2,000322,2011-5-1,欧·亨利短篇小说选,[美] 欧·亨利,北京燕山出版社
01060444,8.4,000797,2003-6-1,羊脂球,莫泊桑,译林出版社
01398452,7.6,000259,2005-5,冰心散文,冰心,人民文学出版社
01398461,8.8,001306,2005-5,梁实秋散文,梁实秋,人民文学出版社
01960333,8.0,001303,2007年1月,藏獒二,杨志军,人民文学出版社
01431177,7.9,005545,2005-9,藏獒,杨志军,人民文学出版社
01082518,7.9,059957,1997-2,麦田里的守望者,[美国] J. D. 塞林格,译林出版社
02159838,7.1,000120,1978,毁灭,（苏联）法捷耶夫,人民文学出版社
02052551,7.7,000308,1956-10,蓓根的五亿法郎,[法] 儒勒·凡尔纳,中国青年出版社
