ID,Rating,Votes,Date,Title,Author,Publisher
26308373,7.6,000017,2015-3,放弃尚早,[日]渡边淳一,江西科学技术出版社
26308372,8.6,000038,2015-3,放弃尚早,[日]渡边淳一,江西科学技术出版社
26579966,8.6,001956,2015-8,医生的修炼,[美]阿图·葛文德,浙江人民出版社
26311199,8.0,000195,2015-1,违童之愿,[美]艾伦·M·霍恩布鲁姆 / 朱迪斯·L·纽曼 / 格雷戈里·J·多贝尔,生活·读书·新知三联书店
26281949,7.4,000167,2014-10,死亡晚餐派对,[美]乔纳森·A.埃德罗,生活·读书·新知三联书店
25880466,8.5,000052,2014-5-1,微战争1:对决细菌·病毒,王哲,陕西人民出版社
06874099,7.8,000198,2011-8,现代医学的偶然发现,[美]默顿·迈耶斯,生活·读书·新知三联书店
10794070,8.4,002380,2012-6,心外传奇,李清晨,清华大学出版社
01097396,8.6,000292,2002-4-1,生命的脸,[美]许尔文·努兰（Sherwin B.Nuland）,海南出版社
01097397,8.7,000463,2002-04-01,死亡的脸,[美] 许尔文·努兰（Sherwin B.Nuland）,海南出版社
02363871,7.5,000393,2007-12,血液的故事,(美)比尔·海斯,生活·读书·新知三联书店
03064917,7.1,000027,2008-5,流行病与文化,特罗斯特,山东画报出版社
01945954,6.7,000163,2006-12,疾病的世界地图,滨田笃郎,三联书店
04246991,8.5,000343,2010-04,疾痛的故事,[美] 阿瑟·克勒曼 (Arthur Kleinman),上海译文出版社
01253285,8.4,000239,2004-04-01,第四级病毒,约瑟夫·麦科明克,汕头大学出版社
03028846,8.0,000736,2008-2,大医院小医师,侯文咏,北京十月文艺出版社
04578536,8.3,000474,2010-7,阿司匹林传奇,(英) 杰弗里斯,生活·读书·新知三联书店
03182220,7.8,000755,2008-08,法医鉴证实录,（美）比尔·巴斯,新世界出版社
03920099,8.4,000204,2009-8-1,法医学之父,科林·埃文斯,山东人民出版社
03092928,8.1,000572,2008-6,逼近的瘟疫,[美]劳里·加勒特,生活·读书·新知三联书店
