ID,Rating,Votes,Date,Title,Author,Publisher
27192237,0.0,000007,1978-3-31,文革杂忆,陈若曦,洪范书店
01088525,8.4,000350,1998-5,1957年的夏季,朱正,河南人民出版社
01043416,8.3,000702,2000-09,人有病  天知否,陈徒手,人民文学出版社
20556208,7.5,001283,2013-5,故国人民有所思,陈徒手,生活·读书·新知三联书店
30195222,0.0,000005,2018-2,格拉古夢魘：勞改回憶錄之三,張先癡,秀威資訊科技
10564681,8.7,000031,2012-1,古炉,贾平凹,人民文学出版社
01064766,9.0,000127,2004-2,中国一九五七,尤凤伟,春风文艺出版社
26856478,8.7,001055,2016-8-1,无路可逃,冯骥才,人民文学出版社
26608356,0.0,000013,2015-9-1,生命中的兵团（上下）,朱维毅,世界图书出版公司北京公司
25755752,8.7,000478,2013-10,监狱琐记,王学泰,生活·读书·新知三联书店
21716347,7.5,000563,2013-4,日夜书,韩少功,上海文艺出版社
21712341,7.6,000099,2013-4-3,返城年代,梁晓声,东方出版中心
04747442,8.2,000636,2010-4,知青变形记,韩东,花城出版社
05328088,8.3,000131,2010-10,血与铁,老鬼,新星出版社
10569855,8.6,003203,2012-5-1,乡关何处,野夫,中信出版社
03111976,0.0,000007,316,革命現場一九六六: 一部紀錄片的拍攝手記,吳文光,時報文化出版企業股份
10529932,7.3,000218,2012-4,大串联,雪屏,新星出版社
01943703,8.2,000906,2006-10,一个红卫兵的自白,梁晓声,文化艺术出版社
03286231,8.0,000069,2008-11,大玩主之地殇,王山,九州出版社
10485866,8.2,001173,2012-3-1,暴风雨的记忆,北岛 / 曹一凡 / 维一,生活·读书·新知三联书店
01134745,8.0,000225,2003年01月,邪性,小军,中国文联出版社
04022832,0.0,000000,2009-9,东北往事3,孔二狗,重庆出版社
03866525,0.0,000000,2009-7-1,东北往事2,孔二狗,重庆出版社
04189138,7.6,000405,2009年12月,重返1976,袁敏,人民文学出版社
03691108,0.0,000000,2009-5,东北往事1,孔二狗,重庆出版社
06878212,7.9,005913,2011-11,一个村庄里的中国,熊培云,新星出版社
06428469,8.0,000151,2011-4,非常与正常,金大陆,上海辞书出版社
03987547,7.9,000012,2009-7,烈火中的青春,老鬼,中国社会科学出版社
01801992,7.6,000015,2006-3-1,无声的群落,邓鹏,重庆出版社
01200843,8.1,006977,2005-1,芙蓉镇,古华,人民文学出版社
01316684,8.2,000515,2005-03-01,血色黄昏,老鬼,中国社会科学出版社
01073656,8.7,000175,2001-03,经历,和凤鸣,敦煌文艺出版社
01005358,9.3,004705,2004-11-03,寻找家园,高尔泰,花城出版社
01009049,7.6,000082,1995-05,牛棚日记,陈白尘,三联书店
01427726,8.1,000576,1998-12,耻辱者手记,摩罗,内蒙古人民出版社
01288869,7.6,000093,2005-02,红底金字,刘仰东,中国青年出版社
01082154,9.1,190770,1998-5,活着,余华,南海出版公司
01061977,8.7,012953,2004-03,血色浪漫,都梁,长江文艺出版社
01309246,7.7,000198,2005-04,红尘,霍达,北京十月文艺出版社
01025355,8.2,000170,1998-10,1966,徐友渔,中国文联出版公司
02071207,8.4,001375,2007-1-1,到黑夜想你没办法,曹乃谦,长江文艺出版社
01072777,9.3,000800,2003-08-01,告别夹边沟,杨显惠,上海文艺出版社
03239549,9.2,026736,2008-09,夹边沟记事,杨显惠,花城出版社
01005047,8.7,001112,1998-7-1,剑桥中华人民共和国史（上卷）,R.麦克法夸尔,中国社会科学出版社
01052968,8.9,000939,1998-7,剑桥中华人民共和国史（下卷）,R.麦克法夸尔;费正清,中国社会科学出版社
01437162,8.2,001802,2005-01-01,随想录,巴金,作家出版社
01935568,8.6,001127,1992-2,干校六记,杨绛,中国社会科学出版社
01078250,8.2,016235,2004-01,洗澡,杨绛,人民文学出版社
01023045,8.7,239415,2003-7,我们仨,杨绛,生活·读书·新知三联书店
01903968,0.0,000000,2006-10,伶人往事,章诒和,湖南文艺出版社
01062423,8.4,006223,2005-1,牛棚杂忆,季羡林,中共中央党史出版社
