ID,Rating,Votes,Date,Title,Author,Publisher
24298630,7.1,000053,2013-4,周作人,[英]苏文瑜 Susan Daruvala,复旦大学出版社
01188357,0.0,000008,2004-4-1,资料索引,孙郁 / 黄乔生,河南大学出版社
01188358,8.6,000052,2004-4-1,周作人与鲍耀明通信集,鲍耀明,河南大学出版社
01188353,8.8,000014,2004-4-1,致周作人,孙郁 / 黄乔生,河南大学出版社
01188354,7.8,000013,2004-4-1,其文其书,孙郁 / 黄乔生,河南大学出版社
01188351,8.6,000014,2004-4-1,周氏兄弟,孙郁 / 黄乔生,河南大学出版社
01188352,8.4,000014,2004-4-1,国难声中,孙郁 / 黄乔生,河南大学出版社
01188355,0.0,000009,2004-4-1,是非之间,孙郁 / 黄乔生,河南大学出版社
01188356,7.8,000015,2004-4-1,研究述评,孙郁 / 黄乔生,河南大学出版社
01001769,8.8,000531,2002-1-1,知堂回想录（上下）,周作人 / 止庵（校订）,河北教育出版社
03399291,8.1,000383,2009-1,周作人传,止庵,山东画报出版社
03168705,8.1,000191,2008-8-1,北京苦住庵记,[日]木山英雄,生活·读书·新知三联书店
01021880,8.4,000098,2002-01,秉烛后谈,周作人,河北教育出版社
01012504,8.8,000141,2002-01,秉烛谈,周作人,河北教育出版社
01018202,8.4,000088,2002-01,苦雨斋序跋文,周作人,河北教育出版社
01039735,8.5,000113,2002-01,周作人书信,周作人,河北教育出版社
01017090,8.3,000222,2001-2-1,周作人传,钱理群,北京十月文艺出版社
01045089,8.4,000123,2002-01,永日集,周作人,河北教育出版社
01033176,8.5,000066,2000-09,周作人的是非功过,舒芜,辽宁教育出版社
01661171,7.8,000040,2000-4,周作人年谱,张菊香，张铁荣编著,天津人民出版社
01038074,8.5,000147,2002-01,瓜豆集,周作人,河北教育出版社
01010845,8.4,000124,2002-01,风雨谈,周作人,河北教育出版社
01022476,8.7,000203,2002-01,苦竹杂记,周作人,河北教育出版社
01020930,8.5,000254,2002-1,苦茶随笔,周作人,河北教育出版社
01000586,8.6,000207,2002-01,泽泻集 过去的生命,周作人,河北教育出版社
01008196,8.7,000278,2002-1,夜读抄,周作人,河北教育出版社
01014263,8.4,000207,2002-01,知堂文集,周作人,河北教育出版社
01039886,8.5,000208,2002-1,看云集,周作人,河北教育出版社
01042333,8.5,000136,2002-01,谈虎集,周作人,河北教育出版社
01002612,8.3,000110,2002-01,谈龙集,周作人,河北教育出版社
01023314,8.6,000139,2002-01,艺术与生活,周作人,河北教育出版社
01055357,8.5,000936,2002-1,雨天的书,周作人,河北教育出版社
01027393,8.5,000248,2002-01,自己的园地,周作人,河北教育出版社
01051827,8.2,000142,2004-10,周作人研究二十一讲,钱理群,中华书局
