ID,Rating,Votes,Date,Title,Author,Publisher
02879920,8.9,000027,1992-10-20,Consciousness Explained,Daniel C. Dennett,Back Bay Books
02050515,9.4,000010,2004-1-27,Freedom Evolves,Daniel C. Dennett,Penguin Books
01495032,0.0,000007,2006-02-02,Breaking the Spell,Daniel C. Dennett,Viking Adult
01440001,9.3,000063,1996-6-1,Darwin&#39;s Dangerous Idea,Daniel C. Dennett,Simon &amp; Schuster
03746371,0.0,000004,1988.12,心我论,[美] 侯世达 / [美] 丹尼尔·丹尼特,上海译文出版社
04208898,8.4,000161,2010/1,心灵种种,丹尼尔·丹尼特,上海科学技术出版社
03222291,8.6,000302,2008-9-1,意识的解释,丹尼尔·丹尼特,北京理工大学出版社
