ID,Rating,Votes,Date,Title,Author,Publisher
04860462,7.5,000460,2010-7,打开餐巾纸,丹·罗姆,中信出版社
01496384,8.2,001957,2002-7,图解思考,[美] 保罗·拉索,中国建筑工业出版社
03031961,7.4,000426,2008-3-1,六顶思考帽,爱德华•德•博诺 (Edward De Bono),山西出版集团,山西人民出版社
01207421,7.3,000131,2002-1,用图表说话,[美] 基恩·泽拉兹尼,长春出版社
03168355,8.8,000164,2008,Data Flow,R. Klanten / N. Bourquin / S. Ehmann / F. van Heerden,Die Gestalten Verlag
04308069,8.5,000226,2009-12,信息设计,简·维索基·欧格雷迪(O＇Grady.J.V.),凤凰出版传媒集团，译林出版社
01587507,0.0,000001,2004-11,信息图形化基础,戴立玲等编,化学工业出版社
06761669,8.8,000408,2011-9,Willpower,Roy F. Baumeister / John Tierney,Penguin Press
05990177,7.9,000072,2011-4-11,Change Anything,Kerry Patterson / Joseph Grenny / David Maxfield,Business Plus
03354583,8.1,000044,2008-11,奇妙的生命,古尔德,江苏科学技术出版社
03194349,8.8,000012,2001.8,我是谁:闻所未闻的生命故事,[美]林恩·马古利斯[LynnMargulis]，[美]多里昂·萨根[KorionSagan]著,江西教育出版社
02183877,8.4,000420,2008-5,忏悔录：卢梭自传,卢梭,长江文艺出版社
02353558,0.0,000003,2007-12-5,用心法則,艾倫．南格 / Ellen J. Langer,木馬文化事業有限公司
01031253,8.0,000350,2002-1,看不见的心,[美] 罗塞尔·罗伯茨,中信出版社
01445816,8.2,000261,2006-1,不必火星撞地球,（美）泰戈尔（Tieger P.D.),机械工业出版社
01803961,8.2,000286,2006-2,双螺旋,[美] J. D. 沃森,科学出版社
01484595,8.4,000665,2006-1,书读完了,金克木著 / 黄德海编选,汉语大词典出版社
05359838,7.9,001258,2010-12,快速阅读,[德]克里斯蒂安•葛朗宁,中信出版社
02984241,8.7,000612,2008-1,思维改变生活,[澳]埃德尔曼,华东师范大学出版社
03083569,7.6,000163,2008-4,YOU：身体使用手册3,迈克尔·罗伊森,凤凰出版传媒集团，译林出版社
02052636,7.7,000345,2007-4,YOU身体使用手册2-腰部管理,罗伊森,译林出版社
05908654,9.1,001465,2011-2,给青年诗人的信,[奥] 莱内·马利亚·里尔克,上海译文出版社
01221479,8.9,001695,2005-2-1,与“众”不同的心理学,Keith E.Stanovich,中国轻工业出版社
03231230,7.6,000011,2006-11-1,超有效备忘录,大勝文仁,有名堂文化館
04238345,7.3,000087,2009年11月3日,弘兼宪史教你活用记事本,弘兼宪史,商周出版
03539029,0.0,000003,2008/10/30,A4資料夾成功術,鈴木敏惠 Suzuki Toshie,商周文化事業股份有限公司
06314078,6.4,000027,2008-11-29,表格學習術,三木雄信,商周文化事業股份有限公司
03433153,0.0,000008,2009/01/12,創意達人的筆記本活用術,樋口健夫,商周
02206488,0.0,000009,2006-8-30,心智圖筆記術,William Reed,晨星出版有限公司
05505171,6.6,000220,2010-12-29,青小鳥的圓夢實踐手帳術,青小鳥,三采文化出版事業有限公司
06149406,6.2,000018,2011-4-25,成功者的筆記本都記些什麼,美崎榮一郎,大田出版有限公司
02216988,7.5,000036,2007年06月15日,筆記成功術,米山公啟,商周出版
01043613,8.5,001919,1997-05,工作与时日 神谱,[古希腊] 赫西俄德,商务印书馆
04619168,8.6,000089,2010-2,希腊神话故事,洪佩奇,译林出版社
01005003,7.7,000098,2001-9,古希腊的神话与宗教,[法] 让-皮埃尔·韦尔南,生活·读书·新知三联书店
01071981,8.5,002092,2003-01,希腊神话和传说,（德）斯威布,人民文学出版社
01880825,8.2,002720,2006-1,希腊神话,尼·库恩,上海译文出版社
01005692,8.4,002193,1995-7,西方哲学史,（美）梯利,商务印书馆
03054821,9.2,009155,2008-4,渴望生活,[美] 欧文·斯通,北京十月文艺出版社
01030957,8.7,000131,2005-01,希腊精神,（美）汉密尔顿,辽宁教育出版社
03288544,8.7,000242,2008-11,希腊人和希腊文明,雅各布·布克哈特,上海人民出版社
01878802,8.5,000357,2006-7,希腊人,H.D.F.基托,上海人民出版社
06712304,7.3,001800,2011-8,怪诞心理学2,[英] 理查德·怀斯曼,湖南文艺出版社
04174183,9.2,000145,2009-12-7,食物與廚藝,哈洛德．馬基,大家出版社
04225093,8.2,000179,2010年1月,西方当代手绘图案,迈克尔·帕里奇,上海人民美术出版社
01289041,6.4,000214,2005-4-1,超右脑波动速读法,七田真,南海出版公司
05361568,8.3,000278,2010-11,获得幸福婚姻的7法则,[美] 约翰·戈特曼 / 纳恩·西尔弗,万卷出版公司
03879031,7.0,000060,2009-7,大脑训练法,特瑞·霍尼 (Terry Horne) 西蒙·伍顿,天津教育出版社
02147562,8.6,001018,2007-7-1,棋与人生,[俄] 加里·卡斯帕罗夫,中信出版社
02160885,8.6,000108,2007-6,居鲁士的教育,[古希腊] 色诺芬,华夏出版社
04809955,8.6,001352,2010-1-1,常识,[美] 托马斯·潘恩,中国对外翻译出版社
02348135,8.4,001600,2008-1-1,拿破仑传,[德] 埃米尔·路德维希,浙江文艺出版社
06811366,8.3,014257,2011-9,禅与摩托车维修艺术,(美)罗伯特·M.波西格,重庆出版社
02181341,7.2,000062,2009-4,阅读、写作和推理：学生指导手册,(英)费尔贝恩,北京大学出版社
01023813,9.4,000115,2002-02,英语词汇轻松学,（韩）韩虎林,三联书店
02116916,8.8,001721,2007-4-1,动机与人格,亚伯拉罕·马斯洛 (Abraham H.Maslow),中国人民大学出版社
03320904,8.5,000557,2008-12,蒙田,[奥地利] 斯蒂芬·茨威格,生活·读书·新知三联书店
02329865,8.1,000108,2007-11,批判的思考,（美）摩尔 / （美）帕克,东方
06743298,8.8,001734,2011-8,经济为什么会崩溃,〔美〕彼得•D•希夫  安德鲁•J•希夫,中信出版社
01014971,8.6,000154,2003-07,好心情,[美]大卫·伯恩斯,海南出版社
05362356,8.3,000127,2010-10,思维,[美] 加里·R.卡比(Gary R. Kirby) / [美] 杰弗里·R.古德帕斯特(Jeffery R. Goodpaster),中国人民大学出版社
01769189,7.4,000850,2006-3,弗里德曼的生活经济学,[美] 戴维·弗里德曼,中信出版社
04240099,8.3,000029,2008-12-30,The How of Happiness,Sonja Lyubomirsky,Penguin (Non-Classics)
04903266,8.3,001206,2010-7-1,超越感觉,文森特•鲁吉罗,复旦大学出版社
04873991,7.1,000026,2010-5,挑战你的成见,：[美]伦道夫·A·史密斯,中国人民大学出版社
01979199,8.3,001128,2006,批判性思维,（美）理查德·保罗 / （美）琳达·埃尔德,新星出版社
01504957,8.6,005751,2006-1,学会提问,布朗,中国轻工业出版社
01220357,8.3,000031,2005-1-1,学会批判性思维,柳铭心 / Gerald M.Nosich,中国轻工业出版社
04953695,7.8,031688,2010-9,拆掉思维里的墙,古典,中国书店
02979733,8.8,000025,2008-02-22,Attacking Faulty Reasoning,T. Edward Damer,Wadsworth Publishing
01425370,7.7,000305,2005-8,为什么男人爱撒谎 女人爱哭泣,[澳] 亚伦·皮斯 / 芭芭拉·皮斯,接力出版社
01255819,0.0,000009,2004-8,当男人与女人相遇,艾伯特.埃利斯(美),特德.克劳福德(美),上海远东出版社
01852590,8.7,001308,2006-6,爱的艺术,（美）弗洛姆,光明日报出版社
04256998,7.4,000495,2010-1-1,爱情心理学,莎伦·布雷姆(Sharon S.Brehm),人民邮电出版社
01437973,8.7,003732,2005-10,亲密关系,[美] 莎伦·布雷姆 / 丹尼尔·珀尔曼 / 罗兰·米勒 / 苏珊·坎贝尔,人民邮电出版社
02361610,7.1,000036,2007-11,亲密,玛丽·杰克斯,二十一世纪
04151190,8.1,000658,2009-11,完美的爱，不完美的关系,约翰·威尔伍德,深圳报业集团出版社
