ID,Rating,Votes,Date,Title,Author,Publisher
04176346,8.3,000016,2010-5-11,The Uses of Enchantment,Bruno Bettelheim,Vintage
06525679,0.0,000004,2010-8-26,An Image of Africa/ The Trouble with Nigeria,Chinua Achebe,Penguin Classics
04113591,0.0,000003,2009-8-3,The Lives of the Poets,Samuel Johnson / John Mullan Mullan,Oxford University Press
03450163,0.0,000001,2009-04-01,Dispatches,Michael Herr,Blackstone Audio,Inc.
01939540,9.0,000020,1999-12-31,The Electric Kool-Aid Acid Test,Tom Wolfe,Bantam USA
05995542,0.0,000006,2011-1,新聞記者與謀殺犯,珍妮．瑪康姆(Malcolm,Janet),博雅書屋有限公司
04189598,8.8,000524,2010-1,战后欧洲史,托尼•朱特,新星出版社
04760910,0.0,000005,2000-3-10,We Wish to Inform You That Tomorrow We Will Be Killed With Our Families,Philip Gourevitch,Picador
04908013,8.3,000103,2010-05,极端的年代,[英] 霍布斯鲍姆,江苏人民出版社
04129844,0.0,000008,2006-6-1,Shah of Shahs,Ryszard Kapuscinski,Penguin Classics
02295445,0.0,000004,2005-7-7,Hard Times,Studs Terkel,The New Press
01478018,9.4,000013,2001-01-23,Bury My Heart at Wounded Knee,Dee Brown,Owl Books
01083053,8.9,000192,2001-1,英国工人阶级的形成（上下）,[英] E.P. 汤普森,译林出版社
05406398,6.8,000084,2011-1-1,耶路撒冷的艾希曼,汉娜·阿伦特,吉林人民出版社
01831660,0.0,000006,1979-4,The History of England,Thomas Babington Macaulay / Hugh Trevor-Roper,Penguin Classics
05954602,9.2,000320,2008-4-1,罗马帝国衰亡史（全6册）,（英）吉本（Gibbon，E.）,吉林出版集团有限责任公司
03031072,9.1,000337,2008-2,历史,[希腊]希罗多德,上海三联书店
02350407,8.2,004282,2007,寂静的春天,[美] 蕾切尔·卡森,上海译文出版社
01025001,8.4,001816,2007-7,东方学,(美) 爱德华·W·萨义德,生活·读书·新知三联书店
01386011,8.4,000088,19980301,神話學,羅蘭.巴特,桂冠
04188142,9.6,000070,2009-6-1,Against Interpretation and Other Essays,Susan Sontag,Penguin Books
01015818,8.1,000023,1997-01,艾丽斯自传,(美)格特鲁德・斯泰因,作家出版社
03547789,8.5,000016,2000-9-28,Goodbye to All That,Robert Graves,Penguin Classics
02081685,7.9,000048,2007-05,维多利亚名人传,利顿·斯特莱切,上海三联书店
03221003,0.0,000006,2003-05-01,The Diary of Samuel Pepys,Samuel Pepys,Penguin Classics
01144501,8.3,000092,2004-01,约翰逊传,包斯威尔,中国社会科学出版社
01531044,8.8,000092,2003-01,意大利艺苑名人传,(意大利)乔尔乔·瓦萨里著、刘耀春译,湖北美术出版社
01017818,8.3,004504,2007-9,观看之道,[英] 约翰·伯格,广西师范大学出版社
01059969,9.5,002347,1999-11-01,艺术的故事,[英] 贡布里希 (Sir E.H.Gombrich),生活·读书·新知三联书店
01105355,8.8,000105,2003-1,新的冲击,[澳] 罗伯特·休斯(Robert Hughes),百花文艺出版社
