ID,Rating,Votes,Date,Title,Author,Publisher
01928404,7.5,000947,2006-10,1929年大崩盘,约翰·肯尼斯·加尔布雷思,上海财经大学出版社
01017507,8.4,000121,1995-10,美国人谈美国,斯特兹・特克尔,中国对外翻译出版公司
02003908,7.8,000060,2001-4-1,The Time Bind,Arlie Russell Hochschild,Holt Paperbacks
01085645,6.2,000178,2004-2,成功人士战胜疲劳的秘密,史蒂文·贝格拉斯,中信出版社
01384522,7.0,000175,2002-05-01,Nickel and Dimed,Barbara Ehrenreich,Owl Books (Henry Holt)
01013223,7.5,000292,1999-12,客户的游艇在哪里,小弗雷德,海南出版社
01289999,8.7,000216,2003-1,营救华尔街,罗杰·洛温斯坦,上海远东出版社
01021346,8.7,005289,2008/6,股票作手回忆录,爱德温.李费佛(美),海南出版社
01187667,8.2,000248,2004-10,华尔街之子,琼・施特劳斯,华夏出版社
01011543,8.3,000217,1999-6-1,与天为敌,[美] 彼得·伯恩斯坦,清华大学出版社
02003901,8.1,000024,1999-10-15,The Victorian Internet,Tom Standage,Berkley Trade
01062007,8.0,000291,2001-7,富甲美国,[美] 萨姆·沃尔顿 / 约翰·休伊,上海译文出版社
01347608,8.8,000026,2004-10-12,They Made America,Harold Evans / Gail Buckland / David Lefer,Little,Brown and Company
02003898,8.2,000010,1996-2-1,New and Improved,Richard S. Tedlow,Harvard Business School Press
01755431,0.0,000007,2002-5-7,The Last Lone Inventor,Evan I. Schwartz,Harper
01014964,7.9,000893,2002-7,引爆流行,[美] 马尔科姆·格拉德威尔,中信出版社
01002474,7.6,001726,2002-8,只有偏执狂才能生存,[美] 安迪·格鲁夫,中信出版社 辽宁教育出版社
01011731,9.0,000339,2000-6,信息规则,[美] 卡尔・夏皮罗(Carl Shapiro) / [美] 哈尔・瓦里安(Hal Varian),中国人民大学出版社
01761220,8.7,000024,2000-02-28,Black Hawk Down,Mark Bowden,Penguin Books
01498071,8.5,000031,1995-08-01,The Making of the Atomic Bomb,Richard Rhodes,Simon &amp; Schuster
02003890,7.6,000018,1993-1-1,Cadillac Desert,Marc Reisner,Penguin Books
02003889,9.3,000032,1995-3-1,The Billion Dollar Molecule,Barry Werth,Simon &amp; Schuster
02003888,0.0,000006,1991-04,American Steel,Richard Preston,Simon &amp; Schuster
02003887,9.1,000061,1975-7-12,The Power Broker,Robert A. Caro,Vintage
01786387,8.6,039582,2006-5,影响力,[美] 罗伯特·西奥迪尼,中国人民大学出版社
02003886,0.0,000009,2002-12-1,Indecent Exposure,David McClintick,HarperBusiness
01460211,8.3,000178,2000-9-1,The 48 Laws of Power,Joost Elffers / Robert Greene,Penguin Putnam Inc
01019155,8.5,000216,2005-01,小沃森自传,（美）小托马斯・沃森,中信出版社
01394388,8.5,000038,1991-5,出事了,[美] 约瑟夫·海勒,南海出版公司
01060774,8.7,014585,1985-7,君主论,[意]尼科洛·马基雅维里,商务印书馆
01083468,7.6,000030,2004-8-1,忠诚的代价,罗恩・萨斯坎德 / 李星健 / 宋宁 / 张帆 / 舒杭生,人民文学出版社
02003882,0.0,000008,2002-10,Live from New York,Tom Shales / James Andrew Miller,Little,Brown and Company
02003881,8.7,000027,2003-9-2,Women Don&#39;t Ask,Linda Babcock / Sara Laschever,Princeton University Press
01084678,7.7,000024,2004-1,分久必合,比尔·维拉斯克,华夏出版社
01773786,0.0,000005,2002-5-2,Remember Every Name Every Time,Benjamin Levy,Fireside
01322025,8.7,013293,2005-6,卓有成效的管理者,[美] 彼得·德鲁克,机械工业出版社
01327587,8.8,000050,1998-10,漫长的诉讼,(美国)乔纳森.哈尔 / Jonathan Harr,译林出版社
01006203,9.2,000272,2000-06,工商巨子,(美)荣・切尔诺,海南出版社
01029348,6.4,000051,1999-06,个人历史,凯瑟琳.格雷厄姆(美),江苏人民出版社
01827572,0.0,000006,1988-11-15,Parting the Waters,Taylor Branch,Simon and Schuster
01827575,0.0,000009,1993-3-12,On Leadership,John W. Gardner,Free Press
01694736,8.7,000024,2003-11-01,Never Give In,Winston S. Churchill,Hyperion
01343735,8.6,000233,2004-3-17,Moneyball,Michael Lewis,W. W. Norton &amp; Company
01029513,8.5,000814,2000-02,聪明的投资者,本杰明.格雷厄姆,江苏人民出版社
01124536,8.7,000239,2002-8,成事在天,[美] 纳西穆·N. 塔勒波,中国经济出版社
01046164,8.2,002896,2004-01,巴菲特致股东的信,(美)巴菲特(Buffett.W.E.),机械工业出版社
01769086,9.4,000125,2005-6-15,Workers,Sebastiao Salgado,Aperture
01275460,8.4,000031,1996-09,石油.金钱.权力(上下),丹尼尔.耶金,新华出版社
01476205,8.3,000116,2003,非零年代,罗伯特·赖特,上海人民出版社
01494723,8.4,000051,2003-7-9,The Mystery of Capital,Hernando De Soto,Basic Books
01869447,8.4,000115,2000-08-15,Development as Freedom,Amartya Sen,Anchor
01980645,0.0,000012,1997-3-28,Beijing Jeep,Jim Mann,Westview Press
01976386,9.3,000015,1999-12-02,The Way We Live Now (Oxford World&#39;s Classics),Anthony Trollope,Oxford University Press,USA
01667332,8.9,000069,2004-9-28,The Smartest Guys in the Room,Bethany McLean / Peter Elkind,Portfolio
01023614,7.6,000343,2003-01,沉静领导,巴达拉克(美),杨斌,机械工业出版社
01082987,6.6,000063,2004-03-26,告密者,库尔特·艾肯沃尔德,机械工业出版社
01038702,8.2,000494,2004-05,贼巢,斯图尔特,国际文化出版公司
01261560,9.0,009204,2005-1,国富论,[英] 亚当·斯密,华夏出版社
01283500,8.8,000093,2000-6,流行的国际主义,克鲁格曼,中国人民大学出版社
01137246,8.7,001532,2005-03,就业、利息和货币通论,（英）约翰・梅纳德・凯恩斯,商务印书馆
02003872,0.0,000007,1997-01-14,Everything for Sale,Robert Kuttner,Knopf
01038949,8.4,000605,1999-02,资本主义、社会主义与民主,(美)约瑟夫·熊彼特,商务印书馆
01865906,8.7,000026,1999-11-17,Thirteen Days,Robert F. Kennedy,W. W. Norton &amp; Company
01879828,9.3,000042,1987-8-12,The Killer Angels,Michael Shaara,Ballantine Books
01873523,8.0,000037,2001-5-31,In the Heart of the Sea,Nathaniel Philbrick,Penguin
01788363,8.8,000030,1993-10-26,The Best and the Brightest,David Halberstam,Ballantine Books
01873520,0.0,000006,1998-10-13,Annapurna,Arlene Blum,Sierra Club Books
01011509,7.8,002009,2003-01,谁说大象不能跳舞？,郭士纳,中信出版社
01898650,0.0,000009,2003-7-1,Chainsaw,John A. Byrne,Collins
01022936,8.2,004476,2006-9,基业长青,[美] 詹姆斯·柯林斯 / [美] 杰里·波勒斯,中信出版社
01024449,7.6,000845,2004-05,门口的野蛮人,约翰・希利亚尔 / 布赖恩・伯勒,机械工业出版社
01908206,7.6,000317,2006-10-1,沸腾的岁月,[美] 约翰·布鲁克斯,中信出版社
01439631,8.2,000018,2004-6-17,Funny Money,Singer,Mark,Mariner Books
01057378,7.7,000424,2000-05,非同寻常的大众幻想与群众性癫狂,（英）麦基,中国金融出版社
